NONC X. galericulata thallus measurements (mm) of the width and height.,,,,,,"Measured the 1st week of May 2011, on the north side of each tree, focused on the 45-55cm high quadrat.",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Note, after looking at the way the data is distributed within each tree, it might make more sense to use the median instead of the average value per tree.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"A few mistakes in there were updated on Dec 2, 2018.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,Xanthomendoza galericulata sizes,,,,,,,,,,,,,,,
Tree,Genotype,Measurement,Thallus #1,Thallus #2,Thallus #3,Thallus #4,Thallus #5,Thallus #6,Thallus #7,Thallus #8,Thallus #9,Thallus #10,Average one way direction,Average thallus area (mm^2) (assuming a square),Average thallus area (mm^2) (assuming a circle),Notes,,
,,Dimension 2,2.36,1.93,4.32,1.16,2.67,1.33,4.26,0.82,4.09,3.17,2.611,6.16196,4.851962284,,,
,,,,,,,,,,,,,,,,,,
N5-13,1005,Dimension 1,0.96,0.45,0.94,3.12,1.29,1.97,0.67,2.06,0.50,0.98,1.294,,,,,
,,Dimension 2,1.31,0.45,0.94,2.01,2.72,1.70,0.66,1.75,0.50,0.98,1.302,1.684788,1.323241967,,,
,,,,,,,,,,,,,,,,,,
N5-15,EC-1,Dimension 1,,,,,,,,,,,#DIV/0!,,,Did not do tree,,
,,Dimension 2,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,
,,,,,,,,,,,,,,,,,,
N5-17,10,Dimension 1,2.44,2.68,3.12,1.51,3.36,2.57,5.56,1.18,6.05,1.73,3.02,,,,,
,,Dimension 2,2.07,2.67,3.38,1.09,4.32,3.61,5.90,1.51,8.78,1.73,3.506,10.58812,8.362266978,,,
,,,,,,,,,,,,,,,,,,
N5-19,HE-7,Dimension 1,,,,,,,,,,,#DIV/0!,,,Did not do tree,,
,,Dimension 2,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,
,,,,,,,,,,,,,,,,,,
N5-26,999,Dimension 1,1.86,0.91,0.57,0.89,0.91,0.89,0.71,0.88,0.97,1.59,1.018,,,,,
,,Dimension 2,1.86,0.91,0.57,0.89,0.91,0.89,0.71,0.88,0.97,1.59,1.018,1.036324,0.813926966,,,
,,,,,,,,,,,,,,,,,,
N6-04,H10,Dimension 1,2.78,7.16,1.29,2.35,3.89,4.07,1.96,3.66,3.15,4.42,3.473,,,,,
,,Dimension 2,5.10,4.65,1.29,2.35,2.83,6.59,1.96,2.65,4.41,5.73,3.756,13.044588,10.2609209,,,
,,,,,,,,,,,,,,,,,,
N6-06,1005,Dimension 1,1.00,8.33,4.56,1.62,1.40,3.44,1.51,1.74,1.30,1.75,2.665,,,,,
,,Dimension 2,1.00,9.61,4.18,1.00,1.40,4.28,1.00,1.75,1.30,1.75,2.727,7.267455,5.708600577,,,
,,,,,,,,,,,,,,,,,,
N6-07,HE-10,Dimension 1,3.71,1.54,2.79,1.82,2.40,1.47,4.16,2.75,3.60,4.00,2.824,,,,,
,,Dimension 2,3.71,2.13,2.55,1.82,1.88,2.39,3.21,3.14,2.56,2.27,2.566,7.246384,5.704366496,,,
,,,,,,,,,,,,,,,,,,
N6-09,1008,Dimension 1,0.56,1.13,0.84,0.87,0.69,1.28,1.22,2.93,0.25,0.90,1.067,,,,,
,,Dimension 2,0.56,1.00,1.91,0.87,0.69,1.28,1.22,3.82,0.25,0.90,1.25,1.33375,1.05410035,,,
,,,,,,,,,,,,,,,,,,
N6-10,10,Dimension 1,0.80,1.79,1.25,0.82,1.43,0.57,2.24,1.86,3.15,1.29,1.52,,,,,
,,Dimension 2,0.80,1.79,1.25,0.82,1.43,0.57,1.96,1.75,2.60,1.29,1.426,2.16752,1.704101172,,,
,,,,,,,,,,,,,,,,,,
N6-12,RM-2,Dimension 1,0.64,2.55,4.26,1.30,1.82,0.64,2.00,1.75,0.66,1.97,1.759,,,,,
,,Dimension 2,0.64,3.08,3.97,1.09,1.06,0.64,1.81,1.88,0.88,1.97,1.702,2.993818,2.351977098,,,
,,,,,,,,,,,,,,,,,,
N6-16,RL-6,Dimension 1,2.21,0.79,2.71,1.92,3.31,0.82,0.90,4.41,2.39,3.74,2.32,,,,,
,,Dimension 2,1.25,0.79,3.08,1.92,3.35,0.82,0.90,3.89,2.39,3.74,2.213,5.13416,4.03460784,,,
,,,,,,,,,,,,,,,,,,
N6-17,996,Dimension 1,2.55,1.08,2.32,0.62,0.97,0.63,2.79,1.86,1.24,2.90,1.696,,,Data sheet said it was Genotype 10 but the tag said 996.,,
,,Dimension 2,0.65,1.08,2.32,0.62,0.97,0.63,2.79,1.92,1.24,3.38,1.56,2.64576,2.081606726,,,
,,,,,,,,,,,,,,,,,,
N6-19,EC-1,Dimension 1,,,,,,,,,,,#DIV/0!,,,Tree not done.,,
,,Dimension 2,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,
,,,,,,,,,,,,,,,,,,
N7-03,1008,Dimension 1,0.63,2.84,0.22,5.83,3.03,4.91,1.91,2.39,2.67,2.58,2.701,,,,,
,,Dimension 2,0.63,2.84,1.79,5.96,2.73,4.91,1.92,2.39,3.78,1.86,2.881,7.781581,6.118001151,,,
,,,,,,,,,,,,,,,,,,
